Tanoo	San Matar	Derelik	30000001	-8.85107925999806e+16	4.23694439668789e+16	-4.45135253464797e+16	0.858324068848468
Lashesih	San Matar	Derelik	30000002	-1.03300968263126e+17	4.17075035682699e+16	-2.98563041297951e+16	0.751689146697987
Akpivem	San Matar	Derelik	30000003	-9.11741411330753e+16	4.39382274862472e+16	-5.64828243833399e+16	0.846292352426726
Jark	San Matar	Derelik	30000004	-9.36759263521789e+16	5.06042449623289e+16	-2.84035291069217e+16	0.817000531228727
Sasta	San Matar	Derelik	30000005	-9.47821579619976e+16	4.31262473529033e+16	-3.1896707679918e+16	0.814336728101234
Zaid	San Matar	Derelik	30000006	-8.47921511388562e+16	5.23134557981793e+16	-5.70739345298823e+16	0.864229153396284
Yuzier	San Matar	Derelik	30000007	-9.03675090131102e+16	5.34477009309433e+16	-4.90403990377699e+16	0.906555510469601
Nirbhi	San Matar	Derelik	30000008	-9.15761035363885e+16	5.73328027393277e+16	-5.52550579645263e+16	0.882115714763018
Sooma	Anares	Derelik	30000009	-8.40947311402152e+16	6.92059288041607e+16	-7.52260521388288e+16	0.57781948156321
Chidah	Anares	Derelik	30000010	-8.05888565201208e+16	6.16455572873768e+16	-7.97709316684619e+16	0.539052013003089
Shenela	Anares	Derelik	30000011	-6.95754633348552e+16	5.71223254405147e+16	-8.06598352028446e+16	0.456959354735403
Asabona	Anares	Derelik	30000012	-8.87870782997732e+16	5.75303545139837e+16	-9.63090751039115e+16	0.322884272450518
Onsooh	Anares	Derelik	30000013	-8.1778742628362e+16	6.02526936619569e+16	-8.66354266261767e+16	0.442816632886763
Shamahi	Anares	Derelik	30000014	-7.77507097384211e+16	7.17225334351103e+16	-8.79220108900039e+16	0.355242291075942
Sendaya	Anares	Derelik	30000015	-7.50358854752398e+16	4.7720998612e+16	-9.51724082940452e+16	0.293932972095294
Nazhgete	Anares	Derelik	30000016	-8.36311552966969e+16	6.37237853971603e+16	-8.98137899485139e+16	0.391497055683935
Futzchag	Mamouna	Derelik	30000017	-6.40985839685295e+16	4.12719734655652e+16	-1.01139230377519e+17	0.172228559767585
Kazna	Mamouna	Derelik	30000018	-7.01424246912462e+16	3.84885821531904e+16	-9.67204101069244e+16	0.231262625040188
Podion	Mamouna	Derelik	30000019	-5.87098578016163e+16	2.60445093863922e+16	-1.01528995159068e+17	0.109704972598651
Lilmad	Mamouna	Derelik	30000020	-7.28553803199239e+16	5.29099261144358e+16	-1.0816527393548e+17	0.1604491933025
Kuharah	Mamouna	Derelik	30000021	-7.43798108537478e+16	3.25389695310869e+16	-1.00531188490154e+17	0.189705283105681
Jayneleb	Mamouna	Derelik	30000022	-6.08394279541966e+16	3.30317909502893e+16	-1.05458726104477e+17	0.113839956995903
Fovihi	Kalangin	Derelik	30000023	-8.15533441122512e+16	5.04512574116074e+16	-5.11546338809836e+16	0.869394349221088
Kiereend	Kalangin	Derelik	30000024	-7.74790809111428e+16	5.11341797154669e+16	-4.78852334824982e+16	0.840834548322929
Rashy	Kalangin	Derelik	30000025	-7.41810587708783e+16	5.09987901588997e+16	-4.42919303109199e+16	0.803265994106465
Ordize	Kalangin	Derelik	30000026	-6.6874602332344e+16	4.73055394392106e+16	-4.16044513798551e+16	0.695564173138387
Psasa	Kalangin	Derelik	30000027	-7.21838857853403e+16	4.29844098654126e+16	-4.50812039936184e+16	0.74991328878682
Eshtah	Kalangin	Derelik	30000028	-7.1223584228662e+16	5.07527859411889e+16	-4.6482687207261e+16	0.768432631428651
Lachailes	Kalangin	Derelik	30000029	-6.14187009632582e+16	3.95082267566463e+16	-3.63463751329509e+16	0.573051226792107
Kasrasi	Kalangin	Derelik	30000030	-5.9932279484658e+16	4.32334111971293e+16	-4.15647245053966e+16	0.573075677011312
Mohas	Hevaka	Derelik	30000031	-8.09313683913977e+16	2.66124516712007e+16	-2.61741709307935e+16	0.681783438209048
Hasiari	Hevaka	Derelik	30000032	-8.78957102276095e+16	3.90624663821354e+16	-2.68005754625334e+16	0.798187617055237
Radima	Hevaka	Derelik	30000033	-8.66697094477018e+16	3.02538914921902e+16	-2.31092186396052e+16	0.75391995235005
Alkez	Hevaka	Derelik	30000034	-8.06056448031638e+16	3.65895803365393e+16	-2.24090232773571e+16	0.782122909851242
Nimambal	Hevaka	Derelik	30000035	-7.89729291083951e+16	2.20216957337664e+16	-3.04376977447003e+16	0.594050570256138
Yishinoon	Hevaka	Derelik	30000036	-6.9082798590932e+16	1.51946413719526e+16	-2.87808774009534e+16	0.42471818203938
Uplingur	Hevaka	Derelik	30000037	-6.6223420001743e+16	1.63260506637112e+16	-2.57304070269525e+16	0.422069314931671
Dooz	Sazdih	Derelik	30000038	-6.21272775923776e+16	4.8759951230412e+16	-7.70618751587521e+16	0.423728855186249
Bayuka	Sazdih	Derelik	30000039	-5.97793567658739e+16	3.91231189512903e+16	-7.32242737785755e+16	0.400722036484829
Uzistoon	Sazdih	Derelik	30000040	-5.78930842937134e+16	4.58330218799978e+16	-7.48380235690044e+16	0.390645600822198
Bairshir	Sazdih	Derelik	30000041	-5.95005366386288e+16	3.06020002150195e+16	-7.04504992476015e+16	0.36408774701497
Moh	Sazdih	Derelik	30000042	-6.26740591678738e+16	3.37682902063152e+16	-6.42457573257148e+16	0.472835003937131
Sari	Sazdih	Derelik	30000043	-6.27794236677204e+16	5.20394343065736e+16	-8.18461458923476e+16	0.379343121688665
Faspera	Ananah	Derelik	30000044	-8.72757870618377e+16	2.44225023492625e+16	-1.07306739389601e+17	0.12825847580852
Jaymass	Ananah	Derelik	30000045	-8.28879537533331e+16	3.22770609137277e+16	-9.96303963204919e+16	0.216311339767522
Mifrata	Ananah	Derelik	30000046	-7.8639929616778e+16	4.26404601128166e+16	-9.45495718243563e+16	0.303802990131855
Majamar	Ananah	Derelik	30000047	-7.33814671362281e+16	3.39740769857685e+16	-8.41248352828522e+16	0.369186257658592
Ihal	Ananah	Derelik	30000048	-8.48113598184454e+16	4.71687564307616e+16	-8.40600804772256e+16	0.492701244651463
